questions,output
Please help! what is the surgery procedure called that removes the boney growth i know the first word is alveo?,"{
  ""department"": ""Oral Surgery"",
  ""accepted_department"": [
    ""Oral Surgery"",
    ""Maxillofacial Surgery"",
    ""ENT""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Urgent"",
  ""urgency_level"": ""Medium""
}"
Should I throw away my hats to prevent reinfection from tinea capitis? Can the fungus stay on the fabric on the hat?,"{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Infectious Disease"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Tinea Capitis"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Stopping the contraceptive pill after being on it for 8 years. How long will it be till I am fully natural with my cycle again? Will my acne return?,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Dermatology"",
    ""Endocrinology""
  ],
  ""symptoms"": [
    ""acne""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
Symptoms of arthritis in the spine?,"{
  ""department"": ""Rheumatology"",
  ""accepted_department"": [
    ""Rheumatology"",
    ""Orthopedics"",
    ""Pain Management""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
"Symptoms of breakthrough chickenpox occur on the body, treatment?","{
  ""department"": ""Infectious Disease"",
  ""accepted_department"": [
    ""Infectious Disease"",
    ""Pediatrics"",
    ""Dermatology""
  ],
  ""symptoms"": [],
  ""condition"": ""Chickenpox"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Medium""
}"
Think I slightly inflamed my breast tissue from self-examining them too hard. Could this cause an enlarged lymph node in the area?,"{
  ""department"": ""Radiology"",
  ""accepted_department"": [
    ""Radiology"",
    ""Oncology"",
    ""General Surgery""
  ],
  ""symptoms"": [
    ""inflamed breast tissue"",
    ""enlarged lymph node""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"Total health.........,,,, I am having loer back stifiness,,,,,, weight loss,,,,, thick lips.............","{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Primary Care"",
    ""Endocrinology""
  ],
  ""symptoms"": [
    ""lower back stiffness"",
    ""weight loss"",
    ""thick lips""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Neutral"",
  ""urgency_level"": ""Medium""
}"
"Ttc fr 1yr after molar. Sperm normal, hsg norm, tsh-2.85, estrodiol-20.8fsh-9.68, lh-5.63prolactin-24.1amh-0.62afc-3.results normal? Wats next step? Age-28","{
  ""department"": ""Reproductive Endocrinology"",
  ""accepted_department"": [
    ""Reproductive Endocrinology"",
    ""OB/GYN"",
    ""Urology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Medium""
}"
Ultrasound shows enlarged gland with at least 3 nodules the biggest being 3.6 CM * 3.2cm.  the nodule is solid with increased vascularity. Diagnosis?,"{
  ""department"": ""Endocrinology"",
  ""accepted_department"": [
    ""Endocrinology"",
    ""Oncology"",
    ""Radiology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Medium""
}"
"US=Diffuse thickening+edema of gastrocnemus. MD said its ok, ice it. Is this true? Leg's been hurting a lot for months. Now I limp after >10min walk","{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Physical Therapy"",
    ""Rheumatology""
  ],
  ""symptoms"": [
    ""pain"",
    ""edema"",
    ""limping""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
What are some illnesses of the lymphatic system?,"{
  ""department"": ""Hematology"",
  ""accepted_department"": [
    ""Hematology"",
    ""Oncology"",
    ""Allergy & Immunology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
What are some sources of vitamin d?,"{
  ""department"": ""Nutrition"",
  ""accepted_department"": [
    ""Nutrition"",
    ""Endocrinology"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
What are the healings from hydrotherapy ?,"{
  ""department"": ""Physical Therapy"",
  ""accepted_department"": [
    ""Physical Therapy"",
    ""Rehabilitation"",
    ""Alternative Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
What are the known symptoms of spondylolisthesis?,"{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Neurology"",
    ""Rehabilitation""
  ],
  ""symptoms"": [],
  ""condition"": ""Spondylolisthesis"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
What are the symptoms of diphtheria,"{
  ""department"": ""Infectious Disease"",
  ""accepted_department"": [
    ""Infectious Disease"",
    ""Emergency Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Diphtheria"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
What does it mean when u have to take a deep breath to breath vetter?,"{
  ""department"": ""Pulmonology"",
  ""accepted_department"": [
    ""Pulmonology"",
    ""Primary Care"",
    ""Internal Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
What do you advise if i had which were growling stomach and excessive flatulence. What could've caused this?,"{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Internal Medicine"",
    ""Dietary""
  ],
  ""symptoms"": [
    ""growling stomach"",
    ""excessive flatulence""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Medium""
}"
What do you advise if I sprained my ankle about 2 weeks ago and the foot is feeling numb?,"{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Emergency Medicine"",
    ""Physical Therapy""
  ],
  ""symptoms"": [
    ""numbness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
What is an easy home remedie for premature ejaculation?,"{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""Mental Health"",
    ""Sexual Health""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
What is neuromytonia (isaacs syndrome)?,"{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Rheumatology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
What is the direction of some legitimate plastic surgeons that deal in cleft lips?,"{
  ""department"": ""Plastic Surgery"",
  ""accepted_department"": [
    ""Plastic Surgery"",
    ""ENT"",
    ""Pediatrics""
  ],
  ""symptoms"": [],
  ""condition"": ""Cleft Lip"",
  ""sentiment"": ""Neutral"",
  ""urgency_level"": ""Low""
}"
What is the maximum amount of Valium someone can take without overdosing?,"{
  ""department"": ""Toxicology"",
  ""accepted_department"": [
    ""Toxicology"",
    ""Pharmacy"",
    ""Mental Health""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
What might cause glands in my armpit to swell?,"{
  ""department"": ""Endocrinology"",
  ""accepted_department"": [
    ""Endocrinology"",
    ""Primary Care"",
    ""Dermatology""
  ],
  ""symptoms"": [
    ""swelling of armpit glands""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
What r the main symptom of acute HIV?,"{
  ""department"": ""Infectious Disease"",
  ""accepted_department"": [
    ""Infectious Disease"",
    ""Primary Care"",
    ""Sexual Health""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
"What should you do if a condom tears, while having intercourse?","{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""OB/GYN"",
    ""Infectious Disease""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Medium""
}"
What supplement or vitamin can I take that would increase blood curculation to knee?,"{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Rheumatology"",
    ""Physical Therapy""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
What symptoms will I have if  I have strep throat?,"{
  ""department"": ""ENT"",
  ""accepted_department"": [
    ""ENT"",
    ""Infectious Disease"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Strep Throat"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
What tests are done to figure if you have circulation problems in thighs sometimes when standing too long. What exer can I do to  when it comes ?,"{
  ""department"": ""Vascular Medicine"",
  ""accepted_department"": [
    ""Vascular Medicine"",
    ""Cardiology"",
    ""Physical Therapy""
  ],
  ""symptoms"": [
    ""circulation problems in thighs""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Medium""
}"
What to do if I'm allergic to sunscreen but I work out in the sun all day what can I do from stop getting burn?,"{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Allergy & Immunology"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
What will happen if a normal 19 year old guy took viagra (sildenafil)?,"{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""Pharmacology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
"When I go to my doctor and tell him I urinate a lot, will he be able to determine if I'm diabetic or not?","{
  ""department"": ""Endocrinology"",
  ""accepted_department"": [
    ""Endocrinology"",
    ""Urology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""frequent urination""
  ],
  ""condition"": ""Diabetes"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
Why do spider bites take so long to heal?,"{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Infectious Disease"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Why I have abdominal obesity with fatty thighs and upper limd muscle atrophy?,"{
  ""department"": ""Endocrinology"",
  ""accepted_department"": [
    ""Endocrinology"",
    ""Nutrition"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""abdominal obesity"",
    ""fatty thighs"",
    ""upper limb muscle atrophy""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Will an infection in a belly piercing cause flu symptoms?,"{
  ""department"": ""Infectious Disease"",
  ""accepted_department"": [
    ""Infectious Disease"",
    ""Dermatology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""flu symptoms""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Medium""
}"
"According to my boyfriend last time I had an absence events I had tears rolling down my cheeks but I wasn't sobbing or anything, is this normal?","{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Mental Health"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""tears rolling down cheeks""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
After many courses of antibiotics i still have the helicobacrer bacteria. What can you advise me?,"{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Infectious Disease"",
    ""Internal Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Helicobacter pylori infection"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Are monochorionic-diamniotic twins usually healthy at birth?,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Pediatrics""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Are there any medications or treatment options to help with bloating and discomfort during an IBS flare up ?,"{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Internal Medicine"",
    ""Nutrition""
  ],
  ""symptoms"": [
    ""bloating"",
    ""discomfort""
  ],
  ""condition"": ""Irritable Bowel Syndrome (IBS)"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Medium""
}"
Are there any sides effect of not doing the communicating hydrocele repaire?,"{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""General Surgery"",
    ""Pediatrics""
  ],
  ""symptoms"": [],
  ""condition"": ""Hydrocele"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
A week ago i used Monistat 1 (tioconazole) to treat a yeast infection. Now I have a vaginal odor and I am wondering if I should use safeguard soap to help the smell?,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Infectious Disease"",
    ""Dermatology""
  ],
  ""symptoms"": [
    ""vaginal odor""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Medium""
}"
Blood pressure is good sitting down 120/75. But just walking across room it goes to 140/90.  I'm not over weight or in bad shape. Should I be concern?,"{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Can a ultrasound show tumors in the kidney or stomach cancer and what does it mean when a ultrasound show a swollen kidney air around kidney and a possible blockage for a 7 year old girl thanks very much?,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Radiology"",
    ""Oncology""
  ],
  ""symptoms"": [
    ""swollen kidney"",
    ""possible blockage""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Medium""
}"
"Can I get an std, such as HIV from mutual materbation with my partner? Cum touched clit but didn't go inside vagina and also touched a cut on my hand","{
  ""department"": ""Infectious Disease"",
  ""accepted_department"": [
    ""Infectious Disease"",
    ""Sexual Health"",
    ""Dermatology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""Medium""
}"
Can I take oral terbinafine for onychomycosis? I had taken 45 oral terbinafine.Now foot toenail skin are red & pain. It will cure?,"{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Infectious Disease"",
    ""Podiatry""
  ],
  ""symptoms"": [
    ""red toenail skin"",
    ""pain""
  ],
  ""condition"": ""Onychomycosis"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Can metronidazole topical cream be used vaginally?,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Pharmacy"",
    ""Dermatology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Can my child with hemophilia participate in activities?,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Hematology"",
    ""Pediatrics"",
    ""Sports Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Hemophilia"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"Can rogaine (minoxidil) cause weight gain, body aches and pain in the kidney area? I've been on it nearly a month.","{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Nephrology"",
    ""Endocrinology""
  ],
  ""symptoms"": [
    ""body aches"",
    ""pain in the kidney area""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Medium""
}"
Can scar tissue on the uterus or bladder show up on an ultrasound?,"{
  ""department"": ""Radiology"",
  ""accepted_department"": [
    ""Radiology"",
    ""OB/GYN"",
    ""Urology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Can the ointment mupirocin USP 2% cause a rash when applied if its expired?,"{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Pharmacy"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""rash""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
Can underactive detrusor ever return to normal?,"{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""Nephrology"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Underactive detrusor"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Can you explain how to pass marijuana drug test?,"{
  ""department"": ""Substance Abuse"",
  ""accepted_department"": [
    ""Substance Abuse"",
    ""Mental Health"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Cycle was 2 weeks late with negative preg tests. Period was 14 days of light to medium bleeding. Now I have thick brown discharge.,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Primary Care"",
    ""Endocrinology""
  ],
  ""symptoms"": [
    ""light to medium bleeding"",
    ""thick brown discharge""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"Do i have to prove that im deficient in gh in order to get therapy, ive heard gh is already been approved for height increasing purpose from 2003?","{
  ""department"": ""Endocrinology"",
  ""accepted_department"": [
    ""Endocrinology"",
    ""Pediatrics"",
    ""Internal Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
"Every morning I wake up perfectly normal, about an hour later, I am so tired. I can barely stay awake. I am also kind of dizzy. And confused.?","{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""tiredness"",
    ""dizziness"",
    ""confusion""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"Feels like something is stuck in throat, shoulder and chest feels mildly heavy, upper back ache. No more coughing. What can this be?","{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Pulmonology"",
    ""Cardiology""
  ],
  ""symptoms"": [
    ""feels like something is stuck in throat"",
    ""shoulder and chest feels mildly heavy"",
    ""upper back ache""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Unsure"",
  ""urgency_level"": ""Medium""
}"
"Had sex then took plan b pill next day, few days after pill came light bleeding for 3 days, could I still be pregnant?","{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""light bleeding""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Had sex using condom and withdrawal 1 week after start of last period. Not on bc. Now having lower stomach pressure period due in one week. Pregnant?,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Primary Care"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""lower stomach pressure""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""Medium""
}"
"Hi I just found out I contracted an std. My doctor prescribed me Azithromicyn 500, they are too big to swallow, am I able to crush them up with food?","{
  ""department"": ""Infectious Disease"",
  ""accepted_department"": [
    ""Infectious Disease"",
    ""Pharmacy"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""STD"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
How can I handle friends that call me a 'junkie' for all my medications for my disability?,"{
  ""department"": ""Mental Health"",
  ""accepted_department"": [
    ""Mental Health"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Upset"",
  ""urgency_level"": ""Medium""
}"
How can I know if I have a varicose vein or a blood blister?,"{
  ""department"": ""Vascular Surgery"",
  ""accepted_department"": [
    ""Vascular Surgery"",
    ""Dermatology"",
    ""General Surgery""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
How do you fix loose upper dentures?,"{
  ""department"": ""Dental"",
  ""accepted_department"": [
    ""Dental"",
    ""Oral Surgery"",
    ""Prosthodontics""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Neutral"",
  ""urgency_level"": ""Low""
}"
How likely is someone to give meningitis to someone if he's gotten the vaccine?,"{
  ""department"": ""Infectious Disease"",
  ""accepted_department"": [
    ""Infectious Disease"",
    ""Allergy & Immunology"",
    ""Pediatrics""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
How long after conception does implantation bleeding start? Last period 11/13-18 unprotected sex nov 25,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Reproductive Health""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
How safe is the use of azt (zidovudine) for HIV positive mothers?,"{
  ""department"": ""Infectious Disease"",
  ""accepted_department"": [
    ""Infectious Disease"",
    ""OB/GYN"",
    ""Pharmacy""
  ],
  ""symptoms"": [],
  ""condition"": ""HIV"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
How to cure urine infection?,"{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""Infectious Disease"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Medium""
}"
How to figure out how many calories per day for a teenage girl to lose weight?,"{
  ""department"": ""Nutrition"",
  ""accepted_department"": [
    ""Nutrition"",
    ""Pediatrics"",
    ""Dietetics""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
How to have your vaginal discharge smell nice?,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Urology"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
"I am 17 years old, and I have had troubles keeping or even maintaining an erection before sex. I have tried multiple times and don't know what to do anymore. It's really imbarrassing but my girlfriend said I should go see a doctor about it. I only masterb","{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""Mental Health"",
    ""Endocrinology""
  ],
  ""symptoms"": [
    ""trouble maintaining an erection""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Embarrassed"",
  ""urgency_level"": ""Medium""
}"
I am 19 yrs old and how can I do a good body workout?,"{
  ""department"": ""Sports Medicine"",
  ""accepted_department"": [
    ""Sports Medicine"",
    ""Nutrition"",
    ""Physical Therapy""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Neutral"",
  ""urgency_level"": ""Low""
}"
I am experiencing urinary dribbling and abnormal urine stream. Recently catheterized during surgery could this have caused my issues?,"{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""Nephrology"",
    ""Surgery""
  ],
  ""symptoms"": [
    ""urinary dribbling"",
    ""abnormal urine stream""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"I discovered I get this weakness in my hand whenever I try to snap my fingers, slight pain runs across elbow and wrist?","{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Neurology"",
    ""Pain Management""
  ],
  ""symptoms"": [
    ""weakness in hand"",
    ""slight pain in elbow"",
    ""slight pain in wrist""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Ie been gettin white mucus in my eyes for the past two years and im not sick. What could it possible be?,"{
  ""department"": ""Ophthalmology"",
  ""accepted_department"": [
    ""Ophthalmology"",
    ""Allergy & Immunology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""white mucus in eyes""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Medium""
}"
"If both metanephrine fractionated tests were abnormal, what is the likihood the ct of the abdomen and pelvis being abnormal. Was done w/wo contrast.","{
  ""department"": ""Endocrinology"",
  ""accepted_department"": [
    ""Endocrinology"",
    ""Radiology"",
    ""Oncology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Medium""
}"
If I go to ER with a tooth ache will it be pulled?,"{
  ""department"": ""Dental"",
  ""accepted_department"": [
    ""Dental"",
    ""Emergency Medicine"",
    ""Oral Surgery""
  ],
  ""symptoms"": [
    ""tooth ache""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
If I took 2 Claritin (loratadine) + d 24 hr pills yesterday at 2pm and took 1 Claritin (loratadine) + d 24 hr pill today at 7am did I technically overdose?,"{
  ""department"": ""Toxicology"",
  ""accepted_department"": [
    ""Toxicology"",
    ""Pharmacology"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
If I took the morning after pill within 11hrs after having unprotected sex what are my chances of not being pragent?,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Primary Care"",
    ""Reproductive Health""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
I had a root canal 3 months ago but tooth is still sensitive to hot. What could be the reason?,"{
  ""department"": ""Dental"",
  ""accepted_department"": [
    ""Dental"",
    ""Oral Surgery"",
    ""Endodontics""
  ],
  ""symptoms"": [
    ""sensitivity to hot""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
I had a surgery on my right scaphoid and it's been ok till now. It's hurting so bad I want to break down and idk what to take because Advil (ibuprofen) isn't working and the doctor office is closed what do I do?,"{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Pain Management"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""pain""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Frustrated"",
  ""urgency_level"": ""High""
}"
